IP: 192.168.1.10, Port: 443, Action: allow
IP: 192.168.1.1, Port: 80, Action: allow
IP: 192.168.1.10, Port: 80, Action: allow
IP: 192.168.1.4, Port: 443, Action: allow
IP: 192.168.1.3, Port: 8080, Action: allow
IP: 192.168.1.19, Port: 8080, Action: allow
IP: 192.168.1.14, Port: 3389, Action: allow
IP: 192.168.1.1, Port: 53, Action: allow
IP: 192.168.1.8, Port: 8080, Action: allow
IP: 192.168.1.2, Port: 3389, Action: allow
IP: 192.168.1.6, Port: 80, Action: allow
IP: 192.168.1.5, Port: 53, Action: allow
IP: 192.168.1.8, Port: 8080, Action: allow
IP: 192.168.1.2, Port: 8080, Action: allow
IP: 192.168.1.8, Port: 80, Action: allow
IP: 192.168.1.9, Port: 80, Action: allow
IP: 192.168.1.1, Port: 8080, Action: allow
IP: 192.168.1.13, Port: 21, Action: block
IP: 192.168.1.0, Port: 80, Action: allow
IP: 192.168.1.17, Port: 21, Action: allow
IP: 192.168.1.10, Port: 8080, Action: allow
IP: 192.168.1.6, Port: 22, Action: allow
IP: 192.168.1.2, Port: 443, Action: allow
IP: 192.168.1.15, Port: 8080, Action: allow
IP: 192.168.1.15, Port: 3389, Action: allow
IP: 192.168.1.4, Port: 21, Action: block
IP: 192.168.1.6, Port: 21, Action: allow
IP: 192.168.1.16, Port: 21, Action: block
IP: 192.168.1.4, Port: 22, Action: block
IP: 192.168.1.19, Port: 80, Action: allow
IP: 192.168.1.0, Port: 443, Action: allow
IP: 192.168.1.0, Port: 443, Action: allow
IP: 192.168.1.6, Port: 22, Action: allow
IP: 192.168.1.13, Port: 443, Action: allow
IP: 192.168.1.2, Port: 443, Action: allow
IP: 192.168.1.0, Port: 80, Action: allow
IP: 192.168.1.10, Port: 22, Action: allow
IP: 192.168.1.3, Port: 8080, Action: allow
IP: 192.168.1.15, Port: 53, Action: allow
IP: 192.168.1.10, Port: 53, Action: allow
IP: 192.168.1.1, Port: 443, Action: allow
IP: 192.168.1.2, Port: 22, Action: allow
IP: 192.168.1.6, Port: 3389, Action: allow
IP: 192.168.1.5, Port: 8080, Action: allow
IP: 192.168.1.7, Port: 443, Action: allow
IP: 192.168.1.7, Port: 21, Action: allow
IP: 192.168.1.1, Port: 3389, Action: block
IP: 192.168.1.6, Port: 443, Action: allow
IP: 192.168.1.2, Port: 3389, Action: allow
IP: 192.168.1.11, Port: 3389, Action: allow
IP: 192.168.1.17, Port: 80, Action: allow
IP: 192.168.1.14, Port: 3389, Action: allow
IP: 192.168.1.1, Port: 22, Action: block
IP: 192.168.1.1, Port: 22, Action: block
IP: 192.168.1.17, Port: 3389, Action: allow
IP: 192.168.1.15, Port: 80, Action: allow
IP: 192.168.1.1, Port: 22, Action: block
IP: 192.168.1.2, Port: 53, Action: allow
IP: 192.168.1.7, Port: 443, Action: allow
IP: 192.168.1.11, Port: 22, Action: allow
IP: 192.168.1.19, Port: 22, Action: block
IP: 192.168.1.17, Port: 22, Action: allow
IP: 192.168.1.11, Port: 22, Action: allow
IP: 192.168.1.1, Port: 8080, Action: allow
IP: 192.168.1.5, Port: 21, Action: allow
IP: 192.168.1.17, Port: 53, Action: allow
IP: 192.168.1.16, Port: 22, Action: block
IP: 192.168.1.7, Port: 21, Action: allow
IP: 192.168.1.8, Port: 22, Action: allow
IP: 192.168.1.8, Port: 8080, Action: allow
IP: 192.168.1.17, Port: 53, Action: allow
IP: 192.168.1.11, Port: 80, Action: allow
IP: 192.168.1.5, Port: 53, Action: allow
IP: 192.168.1.3, Port: 3389, Action: allow
IP: 192.168.1.5, Port: 8080, Action: allow
IP: 192.168.1.9, Port: 3389, Action: block
IP: 192.168.1.9, Port: 443, Action: allow
IP: 192.168.1.0, Port: 443, Action: allow
IP: 192.168.1.16, Port: 443, Action: allow
IP: 192.168.1.12, Port: 8080, Action: allow
IP: 192.168.1.10, Port: 80, Action: allow
IP: 192.168.1.4, Port: 443, Action: allow
IP: 192.168.1.5, Port: 21, Action: allow
IP: 192.168.1.0, Port: 8080, Action: allow
IP: 192.168.1.19, Port: 8080, Action: allow
IP: 192.168.1.18, Port: 22, Action: allow
IP: 192.168.1.15, Port: 21, Action: allow
IP: 192.168.1.1, Port: 21, Action: block
IP: 192.168.1.15, Port: 443, Action: allow
IP: 192.168.1.1, Port: 443, Action: allow
IP: 192.168.1.3, Port: 80, Action: allow
IP: 192.168.1.17, Port: 21, Action: allow
IP: 192.168.1.18, Port: 3389, Action: allow
IP: 192.168.1.4, Port: 22, Action: block
IP: 192.168.1.5, Port: 443, Action: allow
IP: 192.168.1.14, Port: 3389, Action: allow
IP: 192.168.1.20, Port: 53, Action: allow
IP: 192.168.1.13, Port: 22, Action: block
IP: 192.168.1.11, Port: 80, Action: allow
IP: 192.168.1.17, Port: 80, Action: allow
